base_rtt_ms,jitter_fraction,baseline,q05_crossover_mbps,median_crossover_mbps,q95_crossover_mbps,min_seed_median_mbps,max_seed_median_mbps
1,0.0,pre_cached,0.8817559235862121,0.8817559235862121,0.8817559235862121,0.8817559235862121,0.8817559235862121
1,0.0,full,11.444615180316049,11.444615180316049,11.444615180316049,11.444615180316049,11.444615180316049
1,0.12,pre_cached,0.8527891067665638,0.8748459682245013,0.8812344584235308,0.8744932417887006,0.8749761957507065
1,0.12,full,11.068644843591494,11.354928479141076,11.437846903566,11.350350320703253,11.356618747256586
1,0.3,pre_cached,0.8127397849924188,0.8646817401204439,0.8804534161221602,0.8638208060143222,0.8649998574260882
1,0.3,full,10.548830841011759,11.223003446210443,11.427709485330826,11.211829084602417,11.227132400774751
20,0.0,pre_cached,0.314664247561149,0.314664247561149,0.314664247561149,0.314664247561149,0.314664247561149
20,0.0,full,4.084136128844448,4.084136128844448,4.084136128844448,4.084136128844448,4.084136128844448
20,0.12,pre_cached,0.25326496963526596,0.29787223751589126,0.3133408817791803,0.29705631528904997,0.2981744451427506
20,0.12,full,3.287213659241895,3.866186821183023,4.066959706534938,3.8555966843282707,3.870109278522345
20,0.3,pre_cached,0.195920963525563,0.27579555528753674,0.3113765732872902,0.274053178601422,0.27644409951607435
20,0.3,full,2.5429259654841143,3.5796459249970995,4.0414642670558605,3.5570310152036537,3.5880636049065693
50,0.0,pre_cached,0.15612351492880727,0.15612351492880727,0.15612351492880727,0.15612351492880727,0.15612351492880727
50,0.0,full,2.0263811120105606,2.0263811120105606,2.0263811120105606,2.0263811120105606,2.0263811120105606
50,0.12,pre_cached,0.12002938046154954,0.1459200306845663,0.15530989254670502,0.1454308251810308,0.14610137928783445
50,0.12,full,1.5579028538047246,1.893946560055619,2.015820825636321,1.8875969925820195,1.8963003463159378
50,0.3,pre_cached,0.08912293547532985,0.1328922321715022,0.15410523606702334,0.13188217571418576,0.13326886078568684
50,0.3,full,1.156757412081691,1.724854256119274,2.0001851724293,1.71174438392543,1.7297426491994226
100,0.0,pre_cached,0.0848619623781068,0.0848619623781068,0.0848619623781068,0.0848619623781068,0.0848619623781068
100,0.0,full,1.1014527681468216,1.1014527681468216,1.1014527681468216,1.1014527681468216,1.1014527681468216
100,0.12,pre_cached,0.06395473229976459,0.07886677946108941,0.08438140498183078,0.07858104550261609,0.07897274052264666
100,0.12,full,0.8300905959940186,1.0236392150018507,1.095215447449201,1.0199305751036625,1.0250145202775875
100,0.3,pre_cached,0.04669758202750508,0.0713100894321628,0.08367068783431927,0.07072874053919943,0.07152702771115885
100,0.3,full,0.6061040724086331,0.9255583208398273,1.0859908037153212,0.9180127924373545,0.9283740378138534
200,0.0,pre_cached,0.044363294146393145,0.044363294146393145,0.044363294146393145,0.044363294146393145,0.044363294146393145
200,0.0,full,0.5758065424405348,0.5758065424405348,0.5758065424405348,0.5758065424405348,0.5758065424405348
200,0.12,pre_cached,0.03306266967241799,0.041096973027017,0.04410070019964933,0.0409418211849613,0.041154521310129366
200,0.12,full,0.4291318278824512,0.5334118306312139,0.5723982447599925,0.5313980611975786,0.5341587697068597
200,0.3,pre_cached,0.02392216161697141,0.03700962993621777,0.04371258675254518,0.03669654665408361,0.0371265109335952
200,0.3,full,0.31049401162406437,0.48036079061793147,0.5673607860601433,0.47629717438630725,0.4818778295184879
400,0.0,pre_cached,0.02269849339238458,0.02269849339238458,0.02269849339238458,0.02269849339238458,0.02269849339238458
400,0.0,full,0.29461159840270584,0.29461159840270584,0.29461159840270584,0.29461159840270584,0.29461159840270584
400,0.12,pre_cached,0.01681671226493591,0.020991267649910838,0.022561025490969416,0.020910319064300038,0.02102129611501804
400,0.12,full,0.2182699263164917,0.2724529248674314,0.2928273549524964,0.2714022651702007,0.27284267470456286
400,0.3,pre_cached,0.012109769141717961,0.018863133432674525,0.022357917560817307,0.018700497341598423,0.018923862785563884
400,0.3,full,0.1571768831285631,0.24483113462271702,0.29019114686079744,0.2427202245318308,0.24561936190350647
600,0.0,pre_cached,0.015250779847052526,0.015250779847052526,0.015250779847052526,0.015250779847052526,0.015250779847052526
600,0.0,full,0.19794514772224286,0.19794514772224286,0.19794514772224286,0.19794514772224286,0.19794514772224286
600,0.12,pre_cached,0.011276026843958205,0.014095421685877768,0.015157698638428047,0.014040673816644868,0.01411573158197442
600,0.12,full,0.1463554534084145,0.1829493544461347,0.196737014513573,0.1822387629110481,0.18321296361388828
600,0.3,pre_cached,0.008106771216586218,0.01265711776448323,0.015020187908654229,0.012547286538932254,0.01269813259908128
600,0.3,full,0.10522058820013194,0.1642811102615629,0.19495221517927971,0.16285557278844773,0.16481345598910832
1000,0.0,pre_cached,0.009208130493948447,0.009208130493948447,0.009208130493948447,0.009208130493948447,0.009208130493948447
1000,0.0,full,0.11951551128204,0.11951551128204,0.11951551128204,0.11951551128204,0.11951551128204
1000,0.12,pre_cached,0.006797087032825485,0.008506486303539167,0.009151577853465851,0.008473254767235278,0.00851881463670693
1000,0.12,full,0.08822174408698277,0.11040862859722696,0.11878149499653352,0.10997730499091435,0.11056864229846292
1000,0.3,pre_cached,0.004880307955313474,0.007633945433302357,0.009068039467007303,0.007567359367990657,0.007658812555452361
1000,0.3,full,0.06334320532017024,0.09908361878232887,0.1176972213781447,0.09821937520484948,0.09940637776362521
